pride,A scene from a movie that shows the emotion or effect of pride
exhaustion,A scene from a movie that shows the emotion or effect of exhaustion
depressed,A scene from a movie that shows the emotion or effect of depressed
mimicry,A scene from a movie that shows the emotion or effect of mimicry
frustration,A scene from a movie that shows the emotion or effect of frustration
conflict,A scene from a movie that shows the emotion or effect of conflict
curiosity,A scene from a movie that shows the emotion or effect of curiosity
confused,A scene from a movie that shows the emotion or effect of confused
calm ,A scene from a movie that shows the emotion or effect of calm
hurry,A scene from a movie that shows the emotion or effect of hurry
relief,A scene from a movie that shows the emotion or effect of relief
arousal,A scene from a movie that shows the emotion or effect of arousal
stress,A scene from a movie that shows the emotion or effect of stress
kind,A scene from a movie that shows the emotion or effect of kind
touch,A scene from a movie that shows the emotion or effect of touch
vanity,A scene from a movie that shows the emotion or effect of vanity
motor mimicry,A scene from a movie that shows the emotion or effect of motor mimicry
mourning,A scene from a movie that shows the emotion or effect of mourning
sadness,A scene from a movie that shows the emotion or effect of sadness
sex,A scene from a movie that shows the emotion or effect of sex
fascination,A scene from a movie that shows the emotion or effect of fascination
surprise,A scene from a movie that shows the emotion or effect of surprise
vertigo,A scene from a movie that shows the emotion or effect of vertigo
violence,A scene from a movie that shows the emotion or effect of violence
desperate,A scene from a movie that shows the emotion or effect of desperate
unconsciousness,A scene from a movie that shows the emotion or effect of unconsciousness
uncertainty,A scene from a movie that shows the emotion or effect of uncertainty
tension,A scene from a movie that shows the emotion or effect of tension
suspicion,A scene from a movie that shows the emotion or effect of suspicion
passion,A scene from a movie that shows the emotion or effect of passion
humiliation,A scene from a movie that shows the emotion or effect of humiliation
guilt,A scene from a movie that shows the emotion or effect of guilt
hope ,A scene from a movie that shows the emotion or effect of hope
madness,A scene from a movie that shows the emotion or effect of madness
shy,A scene from a movie that shows the emotion or effect of shy
shocked,A scene from a movie that shows the emotion or effect of shocked
peaceful,A scene from a movie that shows the emotion or effect of peaceful
offended,A scene from a movie that shows the emotion or effect of offended
greed,A scene from a movie that shows the emotion or effect of greed
grateful,A scene from a movie that shows the emotion or effect of grateful
flirtation,A scene from a movie that shows the emotion or effect of flirtation
disappointed,A scene from a movie that shows the emotion or effect of disappointed
devastated,A scene from a movie that shows the emotion or effect of devastated
bored,A scene from a movie that shows the emotion or effect of bored
impertinence,A scene from a movie that shows the emotion or effect of impertinence
mood,A scene from a movie that shows the emotion or effect of mood
excess,A scene from a movie that shows the emotion or effect of excess
atmosphere,A scene from a movie that shows the emotion or effect of atmosphere
caution,A scene from a movie that shows the emotion or effect of caution
artefact emotion,A scene from a movie that shows the emotion or effect of artefact emotion
direct affect,A scene from a movie that shows the emotion or effect of direct affect
irritation,A scene from a movie that shows the emotion or effect of irritation
gloating ,A scene from a movie that shows the emotion or effect of gloating
disgust,A scene from a movie that shows the emotion or effect of disgust
loneliness,A scene from a movie that shows the emotion or effect of loneliness
compassion,A scene from a movie that shows the emotion or effect of compassion
obsession,A scene from a movie that shows the emotion or effect of obsession
agitation,A scene from a movie that shows the emotion or effect of agitation
humbleness,A scene from a movie that shows the emotion or effect of humbleness
drunk,A scene from a movie that shows the emotion or effect of drunk
determination,A scene from a movie that shows the emotion or effect of determination
arrogance,A scene from a movie that shows the emotion or effect of arrogance
anger,A scene from a movie that shows the emotion or effect of anger
joy,A scene from a movie that shows the emotion or effect of joy
aggression,A scene from a movie that shows the emotion or effect of aggression
contemplation,A scene from a movie that shows the emotion or effect of contemplation
smell,A scene from a movie that shows the emotion or effect of smell
sarcasm,A scene from a movie that shows the emotion or effect of sarcasm
pain,A scene from a movie that shows the emotion or effect of pain
anxiety,A scene from a movie that shows the emotion or effect of anxiety
contagion,A scene from a movie that shows the emotion or effect of contagion
contempt,A scene from a movie that shows the emotion or effect of contempt
embarrassment,A scene from a movie that shows the emotion or effect of embarrassment
eroticism,A scene from a movie that shows the emotion or effect of eroticism
excitement,A scene from a movie that shows the emotion or effect of excitement
fear,A scene from a movie that shows the emotion or effect of fear
gaiety,A scene from a movie that shows the emotion or effect of gaiety
hate,A scene from a movie that shows the emotion or effect of hate
jealousy,A scene from a movie that shows the emotion or effect of jealousy
love,A scene from a movie that shows the emotion or effect of love
longing,A scene from a movie that shows the emotion or effect of longing
melancholy,A scene from a movie that shows the emotion or effect of melancholy
numb,A scene from a movie that shows the emotion or effect of numb
indetermined,A scene from a movie that shows the emotion or effect of indetermined
low,A scene from a movie that shows the emotion or effect of low
high,A scene from a movie that shows the emotion or effect of high
