pride,A scene from a movie that shows the emotion or affect of pride
exhaustion,A scene from a movie that shows the emotion or affect of exhaustion
depressed,A scene from a movie that shows the emotion or affect of depressed
mimicry,A scene from a movie that shows the emotion or affect of mimicry
frustration,A scene from a movie that shows the emotion or affect of frustration
conflict,A scene from a movie that shows the emotion or affect of conflict
curiosity,A scene from a movie that shows the emotion or affect of curiosity
confused,A scene from a movie that shows the emotion or affect of confused
calm ,A scene from a movie that shows the emotion or affect of calm
hurry,A scene from a movie that shows the emotion or affect of hurry
relief,A scene from a movie that shows the emotion or affect of relief
arousal,A scene from a movie that shows the emotion or affect of arousal
stress,A scene from a movie that shows the emotion or affect of stress
kind,A scene from a movie that shows the emotion or affect of kind
touch,A scene from a movie that shows the emotion or affect of touch
vanity,A scene from a movie that shows the emotion or affect of vanity
motor mimicry,A scene from a movie that shows the emotion or affect of motor mimicry
mourning,A scene from a movie that shows the emotion or affect of mourning
sadness,A scene from a movie that shows the emotion or affect of sadness
sex,A scene from a movie that shows the emotion or affect of sex
fascination,A scene from a movie that shows the emotion or affect of fascination
surprise,A scene from a movie that shows the emotion or affect of surprise
vertigo,A scene from a movie that shows the emotion or affect of vertigo
violence,A scene from a movie that shows the emotion or affect of violence
desperate,A scene from a movie that shows the emotion or affect of desperate
unconsciousness,A scene from a movie that shows the emotion or affect of unconsciousness
uncertainty,A scene from a movie that shows the emotion or affect of uncertainty
tension,A scene from a movie that shows the emotion or affect of tension
suspicion,A scene from a movie that shows the emotion or affect of suspicion
passion,A scene from a movie that shows the emotion or affect of passion
humiliation,A scene from a movie that shows the emotion or affect of humiliation
guilt,A scene from a movie that shows the emotion or affect of guilt
hope ,A scene from a movie that shows the emotion or affect of hope
madness,A scene from a movie that shows the emotion or affect of madness
shy,A scene from a movie that shows the emotion or affect of shy
shocked,A scene from a movie that shows the emotion or affect of shocked
peaceful,A scene from a movie that shows the emotion or affect of peaceful
offended,A scene from a movie that shows the emotion or affect of offended
greed,A scene from a movie that shows the emotion or affect of greed
grateful,A scene from a movie that shows the emotion or affect of grateful
flirtation,A scene from a movie that shows the emotion or affect of flirtation
disappointed,A scene from a movie that shows the emotion or affect of disappointed
devastated,A scene from a movie that shows the emotion or affect of devastated
bored,A scene from a movie that shows the emotion or affect of bored
impertinence,A scene from a movie that shows the emotion or affect of impertinence
mood,A scene from a movie that shows the emotion or affect of mood
excess,A scene from a movie that shows the emotion or affect of excess
atmosphere,A scene from a movie that shows the emotion or affect of atmosphere
caution,A scene from a movie that shows the emotion or affect of caution
artefact emotion,A scene from a movie that shows the emotion or affect of artefact emotion
direct affect,A scene from a movie that shows the emotion or affect of direct affect
irritation,A scene from a movie that shows the emotion or affect of irritation
gloating ,A scene from a movie that shows the emotion or affect of gloating
disgust,A scene from a movie that shows the emotion or affect of disgust
loneliness,A scene from a movie that shows the emotion or affect of loneliness
compassion,A scene from a movie that shows the emotion or affect of compassion
obsession,A scene from a movie that shows the emotion or affect of obsession
agitation,A scene from a movie that shows the emotion or affect of agitation
humbleness,A scene from a movie that shows the emotion or affect of humbleness
drunk,A scene from a movie that shows the emotion or affect of drunk
determination,A scene from a movie that shows the emotion or affect of determination
arrogance,A scene from a movie that shows the emotion or affect of arrogance
anger,A scene from a movie that shows the emotion or affect of anger
joy,A scene from a movie that shows the emotion or affect of joy
aggression,A scene from a movie that shows the emotion or affect of aggression
contemplation,A scene from a movie that shows the emotion or affect of contemplation
smell,A scene from a movie that shows the emotion or affect of smell
sarcasm,A scene from a movie that shows the emotion or affect of sarcasm
pain,A scene from a movie that shows the emotion or affect of pain
anxiety,A scene from a movie that shows the emotion or affect of anxiety
contagion,A scene from a movie that shows the emotion or affect of contagion
contempt,A scene from a movie that shows the emotion or affect of contempt
embarrassment,A scene from a movie that shows the emotion or affect of embarrassment
eroticism,A scene from a movie that shows the emotion or affect of eroticism
excitement,A scene from a movie that shows the emotion or affect of excitement
fear,A scene from a movie that shows the emotion or affect of fear
gaiety,A scene from a movie that shows the emotion or affect of gaiety
hate,A scene from a movie that shows the emotion or affect of hate
jealousy,A scene from a movie that shows the emotion or affect of jealousy
love,A scene from a movie that shows the emotion or affect of love
longing,A scene from a movie that shows the emotion or affect of longing
melancholy,A scene from a movie that shows the emotion or affect of melancholy
numb,A scene from a movie that shows the emotion or affect of numb
low,A scene from a movie that shows the emotion or affect of low
high,A scene from a movie that shows the emotion or affect of high
