pride,An scene from a movie with a pride emotion or affect
exhaustion,An scene from a movie with a exhaustion emotion or affect
depressed,An scene from a movie with a depressed emotion or affect
mimicry,An scene from a movie with a mimicry emotion or affect
frustration,An scene from a movie with a frustration emotion or affect
conflict,An scene from a movie with a conflict emotion or affect
curiosity,An scene from a movie with a curiosity emotion or affect
confused,An scene from a movie with a confused emotion or affect
calm ,An scene from a movie with a calm emotion or affect
hurry,An scene from a movie with a hurry emotion or affect
relief,An scene from a movie with a relief emotion or affect
arousal,An scene from a movie with a arousal emotion or affect
stress,An scene from a movie with a stress emotion or affect
kind,An scene from a movie with a kind emotion or affect
touch,An scene from a movie with a touch emotion or affect
vanity,An scene from a movie with a vanity emotion or affect
motor mimicry,An scene from a movie with a motor mimicry emotion or affect
mourning,An scene from a movie with a mourning emotion or affect
sadness,An scene from a movie with a sadness emotion or affect
sex,An scene from a movie with a sex emotion or affect
fascination,An scene from a movie with a fascination emotion or affect
surprise,An scene from a movie with a surprise emotion or affect
vertigo,An scene from a movie with a vertigo emotion or affect
violence,An scene from a movie with a violence emotion or affect
desperate,An scene from a movie with a desperate emotion or affect
unconsciousness,An scene from a movie with a unconsciousness emotion or affect
uncertainty,An scene from a movie with a uncertainty emotion or affect
tension,An scene from a movie with a tension emotion or affect
suspicion,An scene from a movie with a suspicion emotion or affect
passion,An scene from a movie with a passion emotion or affect
humiliation,An scene from a movie with a humiliation emotion or affect
guilt,An scene from a movie with a guilt emotion or affect
hope ,An scene from a movie with a hope emotion or affect
madness,An scene from a movie with a madness emotion or affect
shy,An scene from a movie with a shy emotion or affect
shocked,An scene from a movie with a shocked emotion or affect
peaceful,An scene from a movie with a peaceful emotion or affect
offended,An scene from a movie with a offended emotion or affect
greed,An scene from a movie with a greed emotion or affect
grateful,An scene from a movie with a grateful emotion or affect
flirtation,An scene from a movie with a flirtation emotion or affect
disappointed,An scene from a movie with a disappointed emotion or affect
devastated,An scene from a movie with a devastated emotion or affect
bored,An scene from a movie with a bored emotion or affect
impertinence,An scene from a movie with a impertinence emotion or affect
mood,An scene from a movie with a mood emotion or affect
excess,An scene from a movie with a excess emotion or affect
atmosphere,An scene from a movie with a atmosphere emotion or affect
caution,An scene from a movie with a caution emotion or affect
artefact emotion,An scene from a movie with a artefact emotion emotion or affect
direct affect,An scene from a movie with a direct affect emotion or affect
irritation,An scene from a movie with a irritation emotion or affect
gloating ,An scene from a movie with a gloating emotion or affect
disgust,An scene from a movie with a disgust emotion or affect
loneliness,An scene from a movie with a loneliness emotion or affect
compassion,An scene from a movie with a compassion emotion or affect
obsession,An scene from a movie with a obsession emotion or affect
agitation,An scene from a movie with a agitation emotion or affect
humbleness,An scene from a movie with a humbleness emotion or affect
drunk,An scene from a movie with a drunk emotion or affect
determination,An scene from a movie with a determination emotion or affect
arrogance,An scene from a movie with a arrogance emotion or affect
anger,An scene from a movie with a anger emotion or affect
joy,An scene from a movie with a joy emotion or affect
aggression,An scene from a movie with a aggression emotion or affect
contemplation,An scene from a movie with a contemplation emotion or affect
smell,An scene from a movie with a smell emotion or affect
sarcasm,An scene from a movie with a sarcasm emotion or affect
pain,An scene from a movie with a pain emotion or affect
anxiety,An scene from a movie with a anxiety emotion or affect
contagion,An scene from a movie with a contagion emotion or affect
contempt,An scene from a movie with a contempt emotion or affect
embarrassment,An scene from a movie with a embarrassment emotion or affect
eroticism,An scene from a movie with a eroticism emotion or affect
excitement,An scene from a movie with a excitement emotion or affect
fear,An scene from a movie with a fear emotion or affect
gaiety,An scene from a movie with a gaiety emotion or affect
hate,An scene from a movie with a hate emotion or affect
jealousy,An scene from a movie with a jealousy emotion or affect
love,An scene from a movie with a love emotion or affect
longing,An scene from a movie with a longing emotion or affect
melancholy,An scene from a movie with a melancholy emotion or affect
numb,An scene from a movie with a numb emotion or affect
indetermined,An scene from a movie with a indetermined emotion or affect
low,An scene from a movie with a low emotion or affect
high,An scene from a movie with a high emotion or affect
